# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	9734
#@/user_id	xgh-macpro
bu rong yi 	不容易	c=2 d=6.59561e-06 t=9734
bu shang 	不上	c=2 d=1.06238e-06 t=9734
bu shang jia 	不上架	c=1 d=3.82164e-08 t=9734
bu shi 	不是	c=31 d=0.459755 t=9734
bu shi bie 	不識別	c=1 d=0.0140519 t=9734
bu shi me 	不是麼	c=1 d=1.98067e-11 t=9734
bu shi yong 	不使用	c=1 d=0.000203468 t=9734
bu suan 	不算	c=3 d=1.10986e-06 t=9734
bu tai 	不太	c=2 d=0.000214973 t=9734
bu tong 	不同	c=5 d=0.00123932 t=9734
bu tui jian 	不推薦	c=1 d=4.73831e-08 t=9734
bu wan 	不玩	c=1 d=2.16087e-06 t=9734
bu wen 	不問	c=0 d=2.81798e-13 t=9734
bu xi huan 	不喜歡	c=1 d=0.0485578 t=9734
bu xia lai 	不下來	c=0 d=0.00391639 t=9734
bu xie 	不寫	c=1 d=2.66582e-06 t=9734
bu xin 	不信	c=0 d=2.41377e-15 t=9734
bu xing 	不行	c=11 d=0.97687 t=9734
bu xu yao 	不需要	c=1 d=0.0100259 t=9734
bu xu yao le 	不需要了	c=1 d=0.100761 t=9734
bu ya 	不雅	c=2 d=1.08587e-11 t=9734
bu yao 	不要	c=8 d=1.19969 t=9734
bu yi zhi 	不一致	c=1 d=2.70703e-10 t=9734
bu ying xiang 	不影響	c=1 d=1.32061e-07 t=9734
bu yong 	不用	c=16 d=0.102099 t=9734
bu zai 	不在	c=2 d=6.10456e-12 t=9734
bu zai hu 	不在乎	c=1 d=1.79682e-12 t=9734
bu zhi 	不止	c=3 d=0.0325493 t=9734
bu zhi 	不知	c=1 d=0.100259 t=9734
bu zhi dao 	不知道	c=5 d=0.104874 t=9734
bu zhi yu 	不至於	c=1 d=2.5358e-06 t=9734
bu zhun 	不準	c=2 d=0.000116458 t=9734
bu zu 	不足	c=2 d=0.0724586 t=9734
ca 	擦	c=2 d=0.115903 t=9734
cai 	才	c=11 d=0.387259 t=9734
cai 	猜	c=1 d=4.90959e-14 t=9734
cai 	蔡	c=1 d=7.69978e-14 t=9734
cai 	踩	c=0 d=0.000355287 t=9734
cai dan 	菜單	c=1 d=2.26148e-12 t=9734
cai dan lan 	菜單欄	c=1 d=0.937067 t=9734
cai guo de keng 	踩過得坑	c=1 d=0.00357068 t=9734
cai hui 	纔會	c=1 d=2.33639e-13 t=9734
cai neng 	才能	c=5 d=0.64412 t=9734
cai wu 	財務	c=1 d=2.92492e-09 t=9734
cai xing 	才行	c=1 d=8.33823e-10 t=9734
cai yao 	纔要	c=1 d=1.96096e-11 t=9734
cai yong 	採用	c=2 d=0.00256704 t=9734
cai you 	纔有	c=1 d=7.05168e-09 t=9734
can kao 	參考	c=1 d=0.000415927 t=9734
can shu 	參數	c=5 d=0.121961 t=9734
cao 	操	c=3 d=1.5539e-11 t=9734
cao 	草	c=2 d=0.000912602 t=9734
cao zuo 	操作	c=1 d=0.0694196 t=9734
cao zuo xi tong 	操作系統	c=1 d=0.000200439 t=9734
ce shi 	測試	c=5 d=0.57314 t=9734
ceng 	層	c=3 d=0.00544365 t=9734
ceng 	曾	c=4 d=0.000323907 t=9734
ceng ceng 	層層	c=1 d=0.00139481 t=9734
ceng jing 	曾經	c=1 d=0.438235 t=9734
cha 	差	c=8 d=0.0026189 t=9734
cha 	查	c=4 d=6.05274e-06 t=9734
cha bie 	差別	c=1 d=8.35981e-11 t=9734
cha bu duo 	差不多	c=2 d=0.00704808 t=9734
cha ci 	查詞	c=1 d=5.70413e-14 t=9734
cha dao 	查到	c=1 d=6.94788e-11 t=9734
cha jian 	插件	c=4 d=0.108683 t=9734
cha kan 	查看	c=3 d=0.0550232 t=9734
cha xun 	查詢	c=6 d=0.0945647 t=9734
chai 	柴	c=4 d=0.000887367 t=9734
chai ling 	柴玲	c=1 d=0.955998 t=9734
chan 	產	c=4 d=0.000878538 t=9734
chan sheng 	產生	c=1 d=0.634448 t=9734
chang 	嚐	c=1 d=5.81838e-12 t=9734
chang 	常	c=1 d=5.99659e-14 t=9734
chang 	廠	c=1 d=8.41916e-06 t=9734
chang 	長	c=6 d=0.000668424 t=9734
chang jing 	場景	c=3 d=0.10435 t=9734
chang lian jie 	長鏈接	c=1 d=1.01108e-12 t=9734
chang liang 	常量	c=6 d=3.48988 t=9734
chao 	吵	c=1 d=0.0218184 t=9734
chao 	晁	c=4 d=0.000882941 t=9734
chao 	炒	c=1 d=7.84998e-06 t=9734
chao guo 	炒鍋	c=1 d=7.77187e-06 t=9734
chao le 	炒了	c=1 d=2.11333e-09 t=9734
chao ren 	超人	c=1 d=0.0884781 t=9734
che 	車	c=7 d=0.000384528 t=9734
che chu lai 	撤出來	c=1 d=0.00895987 t=9734
che dai 	車貸	c=1 d=4.72688e-09 t=9734
che dan 	扯淡	c=1 d=0.00194013 t=9734
che di 	徹底	c=1 d=1.62949e-09 t=9734
che kuang 	車況	c=1 d=0.0773047 t=9734
che xing tian xia 	車行天下	c=1 d=0.00790705 t=9734
che you 	車友	c=3 d=0.0261819 t=9734
che you huo dong 	車友活動	c=2 d=0.0123167 t=9734
chen 	趁	c=1 d=2.35298e-08 t=9734
chen 	陳	c=7 d=0.000865968 t=9734
cheng 	成	c=9 d=0.179247 t=9734
cheng 	程	c=3 d=0.000299393 t=9734
cheng ben 	成本	c=1 d=1.14789e-05 t=9734
cheng du 	程度	c=2 d=0.0466748 t=9734
cheng gong 	成功	c=3 d=0.00603639 t=9734
cheng jiu gan 	成就感	c=2 d=3.18569e-06 t=9734
cheng pin 	誠品	c=0 d=2.57588e-15 t=9734
cheng wei 	成爲	c=1 d=0.00236968 t=9734
cheng xu 	程序	c=1 d=3.79212e-06 t=9734
cheng xu yuan 	程序員	c=24 d=1.17474 t=9734
cheng xu yuan 	程序猿	c=1 d=3.81113e-05 t=9734
cheng xu yuan de 	程序員的	c=2 d=0.120424 t=9734
cheng yuan 	成員	c=5 d=0.878236 t=9734
chi 	吃	c=9 d=0.00103374 t=9734
chi cun 	尺寸	c=1 d=0.279431 t=9734
chi dao 	遲到	c=1 d=1.2719e-06 t=9734
chi fan 	吃飯	c=0 d=1.69132e-07 t=9734
chong 	重	c=4 d=0.000718112 t=9734
chong fu 	重複	c=4 d=0.0218185 t=9734
chong gou 	重構	c=4 d=0.224006 t=9734
chong ming ming 	重命名	c=2 d=0.0566989 t=9734
chong qi 	重啓	c=1 d=0.960789 t=9734
chong xie 	重寫	c=1 d=1.90268e-09 t=9734
chong xin 	重新	c=6 d=0.554383 t=9734
chong zhuang 	重裝	c=1 d=1.53115e-12 t=9734
chou 	抽	c=5 d=0.000829089 t=9734
chou chang 	惆悵	c=1 d=0.000319102 t=9734
chou hen 	仇恨	c=1 d=1.08927e-06 t=9734
chou xiang 	抽象	c=2 d=0.0242503 t=9734
chou xiang lei 	抽象類	c=1 d=4.39594e-08 t=9734
chu 	出	c=12 d=0.29767 t=9734
chu chu 	出處	c=1 d=7.34071e-11 t=9734
chu chuang 	初創	c=1 d=1.55376e-08 t=9734
chu fei 	除非	c=2 d=5.29548e-08 t=9734
chu guo 	出國	c=1 d=1.5037e-05 t=9734
chu ji 	出擊	c=1 d=8.69802e-07 t=9734
chu lai 	出來	c=8 d=0.00381052 t=9734
chu lai le 	出來了	c=1 d=3.33041e-07 t=9734
chu li 	處理	c=3 d=0.704688 t=9734
chu mo 	觸摸	c=1 d=1.49645e-07 t=9734
chu qu 	出去	c=1 d=0.0401553 t=9734
chu shi hua 	初始化	c=8 d=0.00637938 t=9734
chu wen ti 	出問題	c=1 d=0.0536647 t=9734
chu xian 	出現	c=3 d=0.00548905 t=9734
chu yu 	處於	c=2 d=0.00279479 t=9734
chu zhan 	出棧	c=1 d=1.94112e-09 t=9734
chu zhong 	初中	c=2 d=1.58213e-06 t=9734
chu zhong 	初衷	c=1 d=0.0023344 t=9734
chuan 	傳	c=1 d=0.000949097 t=9734
chuan 	穿	c=4 d=0.00081028 t=9734
chuan di 	傳遞	c=1 d=0.0939493 t=9734
chuan guo 	傳過	c=1 d=2.3352e-07 t=9734
chuan shuo 	傳說	c=1 d=0.0824965 t=9734
chuang 	牀	c=4 d=0.000581029 t=9734
chuang jian 	創建	c=4 d=0.565526 t=9734
chuang kou 	窗口	c=1 d=1.10307e-07 t=9734
chui 	垂	c=4 d=0.000703893 t=9734
chun 	純	c=5 d=0.00228817 t=9734
chun jie 	春節	c=1 d=0.869358 t=9734
chun wan 	春晚	c=1 d=0.865022 t=9734
chuo 	戳	c=4 d=0.000516121 t=9734
ci 	次	c=1 d=8.17312e-10 t=9734
ci 	此	c=4 d=0.557106 t=9734
ci 	辭	c=1 d=0.000112788 t=9734
ci dian 	詞典	c=3 d=2.08302e-07 t=9734
ci guo zhi 	辭過職	c=1 d=0.0194482 t=9734
ci ku 	詞庫	c=1 d=1.03365e-07 t=9734
ci le 	辭了	c=1 d=2.04523e-06 t=9734
ci shi 	此時	c=1 d=0.625002 t=9734
ci yuan 	次元	c=1 d=6.00905e-09 t=9734
ci zhi 	辭職	c=0 d=2.9902e-05 t=9734
ci zhi lv 	辭職率	c=1 d=0.000300519 t=9734
ci zu 	詞組	c=1 d=1.07047e-07 t=9734
cong 	從	c=7 d=0.000321757 t=9734
cong lai 	從來	c=1 d=5.74366e-07 t=9734
cong ye 	從業	c=1 d=0.00227676 t=9734
cong ye zhe 	從業者	c=1 d=0.00326336 t=9734
cuan 	竄	c=1 d=0.000555856 t=9734
cun 	存	c=3 d=0.0401554 t=9734
cun chu 	存儲	c=8 d=0.0130365 t=9734
cun kuan 	存款	c=1 d=3.73694e-09 t=9734
cun zai 	存在	c=4 d=0.327548 t=9734
cun zai gan 	存在感	c=1 d=4.40657e-07 t=9734
cuo 	錯	c=3 d=0.00701256 t=9734
cuo wu 	錯誤	c=7 d=0.672291 t=9734
da 	噠	c=1 d=9.02962e-06 t=9734
da 	大	c=12 d=0.379308 t=9734
da 	打	c=4 d=3.35577e-08 t=9734
da an 	答案	c=2 d=3.34401e-12 t=9734
da ba 	大把	c=1 d=0.0232837 t=9734
da ba ren 	大把人	c=1 d=6.64102e-09 t=9734
da bao 	打包	c=1 d=0.0175097 t=9734
da bu fen 	大部分	c=1 d=0.000219315 t=9734
da cao 	大草	c=2 d=0.00226541 t=9734
da da 	大大	c=1 d=0.00856561 t=9734
da duo shu 	大多數	c=3 d=6.16177e-05 t=9734
da duo shu ren 	大多數人	c=2 d=0.00882647 t=9734
da er 	大二	c=1 d=6.39496e-06 t=9734
da fa 	打法	c=0 d=5.63088e-10 t=9734
da fa zhe 	打法這	c=1 d=5.65911e-09 t=9734
da gai 	大概	c=2 d=1.80522e-08 t=9734
da hua 	大話	c=1 d=0.0731678 t=9734
da jia 	大家	c=2 d=4.0273e-05 t=9734
da jian 	搭建	c=3 d=0.00469314 t=9734
da jie 	大姐	c=1 d=2.30599e-06 t=9734
da ka 	打卡	c=1 d=1.44125e-06 t=9734
da ka ji 	打卡機	c=1 d=1.56911e-06 t=9734
da kai 	打開	c=6 d=0.0330858 t=9734
da ke shui 	打瞌睡	c=2 d=0.380983 t=9734
da le 	大了	c=1 d=1.11396e-05 t=9734
da liang 	大量	c=3 d=0.00653267 t=9734
da nai 	大奶	c=1 d=4.93336e-12 t=9734
da nao 	大腦	c=1 d=2.10752e-06 t=9734
da qi 	搭起	c=1 d=0.00222055 t=9734
da rao 	打擾	c=1 d=0.0492917 t=9734
da shan 	搭訕	c=1 d=0.355226 t=9734
da shen 	大神	c=5 d=0.024889 t=9734
da shi jian 	大事件	c=1 d=5.58928e-10 t=9734
da shu ju 	大數據	c=4 d=0.150048 t=9734
da suan 	打算	c=3 d=4.52905e-06 t=9734
da xue 	大學	c=2 d=1.09209e-07 t=9734
da yin 	打印	c=6 d=0.00011196 t=9734
da you xi 	打遊戲	c=2 d=1.23292e-13 t=9734
da yu 	大於	c=1 d=5.68554e-05 t=9734
da zhan 	大戰	c=2 d=0.831104 t=9734
da zi 	打字	c=1 d=0.000160856 t=9734
